nd,gisid,mean_p,std_p,max_p,min_p
NODE_709220379528100,700000119549302,0.015424054135338344,0.0056546062379916025,0.036848,0.003056
NODE_709220291897100,709220291897300,0.17840630769230767,0.05847351164683745,0.28120049999999996,0.0
NODE_709220350473200,700000639422902,0.007085751217684525,0.008503088080432979,0.02144,0.00026000000000000003
NODE_709440261011600,709440261003300,0.9238754759238521,0.21638186453355385,1.5048,0.5448
NODE_709220350596000,709220310858900,0.010622049738219893,0.007788534448637143,0.07528499999999999,0.003276
NODE_709440150338000,709440150341600,0.006905030631303698,0.004452021180093384,0.046179000000000005,0.0022679999999999996
NODE_709440141161600,709440141215300,0.00547676839464883,0.00307842270875407,0.023530000000000002,0.00116
NODE_709440137398300,700000869813302,0.08078996640537514,0.021427583703071136,0.18816,0.04224
NODE_709440137382800,700000869766402,0.06204901008591708,0.03191755608948208,0.1464,0.011850000000000001
NODE_709440137370900,700000869753002,0.08538926465098917,0.027387786400739796,0.19968,0.02904
NODE_709440137504200,700000867325502,0.016104357356236,0.07279118630426863,0.15882300000000002,-0.22869
NODE_709220208414900,700000867303402,0.04419951438177064,0.01225751027166818,0.0866,0.0197
NODE_709440137372000,700000869748502,0.11694763717805153,0.04650308083357426,0.26248,0.05135999999999999
NODE_709220403299700,700000062552002,0.6640757732930969,0.41127936778534274,2.268,0.00025
NODE_709440137552600,700000774976202,0.08073531168346397,0.018820692024678738,0.1772,0.0409
NODE_709440213592300,700000140839402,0.07289128230022403,0.01646570630024264,0.126756,0.036918000000000006
NODE_709440213592400,700000140838602,0.13522476147816348,0.039781282904542074,0.278082,0.056133
NODE_709440213592500,700000140838202,0.14255815496639285,0.04141962373596717,0.30744,0.06243300000000001
NODE_709440137426800,700000140837402,1.1287793952967527e-06,8.358530837131222e-06,6.3e-05,0.0
NODE_709440137400600,700000140633002,0.1630193314669653,0.04076413205681746,0.29043,0.073017
NODE_709440137415500,700000140625702,0.12641344191258871,0.031402150154812215,0.256536,0.057771
NODE_709440137397500,700000869811002,0.04314905561776783,0.012500438790068699,0.096,0.01704
NODE_709440137520000,700000867316602,0.08090672116461366,0.03063532407596253,0.17224199999999998,-0.006489
NODE_709440137383600,700000869766602,0.06204901008591708,0.03191755608948208,0.1464,0.011850000000000001
NODE_709440137543000,700000846740702,0.15867318894697535,0.0401311526328647,0.3011,0.0776
NODE_709440234436400,709440234435600,0.0010359118086696562,0.0004901340176013453,0.0029,0.0007000000000000001
NODE_709440137371700,700000869754802,0.07958031366691559,0.024887169725293586,0.1628,0.03448
NODE_709440137396700,700000869809402,0.04716921239268383,0.011334758504278635,0.09176000000000001,0.01968
NODE_709440137550600,700000846746102,0.08223666915608664,0.01735142984604528,0.163,0.045700000000000005
NODE_709440061196800,700000638916302,0.3615452576549664,0.14951857403050842,0.7075,0.10980000000000001
NODE_709440061069700,700000078683702,1.9126280806572071,0.5858664944630769,3.005,0.751
NODE_709440061068700,700000078682902,1.9126280806572071,0.5858664944630769,3.005,0.751
NODE_709440061087700,700000078682102,1.9126287677371174,0.585866429731505,3.00496,0.7510399999999999
NODE_709440061028300,700000078677902,1.9126280806572071,0.5858664944630769,3.005,0.751
NODE_709220389263600,700000061567202,0.17423918701007837,0.04322628949540364,0.37201500000000004,0.086688
NODE_709220398116600,700000058994802,0.16548198954833893,0.03701744824295169,0.28645,0.07365000000000001
NODE_709220357704900,700000133652402,0.049970287420679355,0.020773852609290336,0.10935999999999998,0.0007199999999999999
NODE_709220357609600,709220327875200,0.027195871667936026,0.04067280050077576,0.173628,0.0009135
NODE_709220357788600,709220325001500,0.09533144564811358,0.0271962545211574,0.20796,0.04344
NODE_709220357763100,700000090493202,0.19205921695294995,0.0474177209974663,0.35519400000000007,0.100422
NODE_709220357763800,700000090492502,0.19205921695294995,0.0474177209974663,0.35519400000000007,0.100422
NODE_709220398116700,700000058994602,0.06748942056074766,0.017837684026500482,0.1255,0.027149999999999997
NODE_709440298932300,709440210260700,0.15653130272489732,0.035313033474083,0.26127999999999996,0.0424
NODE_709440210107400,709440210105600,0.156531093691676,0.03531262301568312,0.2612,0.0424
NODE_709440210264300,709440210262300,0.15653130272489732,0.035313033474083,0.26127999999999996,0.0424
NODE_709440255917900,709440255917100,0.006538741598207617,0.0031608863600173258,0.023125000000000003,0.0
NODE_709440255936800,709440255932700,0.0013374860022396418,0.0007838570577215669,0.004125,0.0008750000000000001
NODE_709440256103900,709440256097700,0.001656779977586851,5.318497000028053e-05,0.0018,0.0015
NODE_709440255936200,709440255932000,0.0006250466766243467,2.415487123400971e-06,0.0007499999999999999,0.000625
NODE_709440210194800,709440210186600,0.156531093691676,0.03531262301568312,0.2612,0.0424
NODE_709440209454300,709440209452500,0.018589705003734136,0.021038264524410894,0.126819,0.001386
NODE_709440209746800,709440209746000,0.11921774645257656,0.030359755050674564,0.24525000000000002,0.053875
